question,answer,combined
你們店長換了喔？ ,是的,question: 你們店長換了喔？ ; answer: 是的
會員可以幹嘛 ,可報電話集點換餐點優惠卷，不定時發送會員好禮,question: 會員可以幹嘛 ; answer: 可報電話集點換餐點優惠卷，不定時發送會員好禮
賴之前的會員還可以用嗎 ,若有剩的優惠卷可使用,question: 賴之前的會員還可以用嗎 ; answer: 若有剩的優惠卷可使用
外國客人是否有英文菜單 ,有的,question: 外國客人是否有英文菜單 ; answer: 有的
炸雞有骨頭嗎 ,沒有,question: 炸雞有骨頭嗎 ; answer: 沒有
你們有哪些沙拉醬 ,凱薩、胡麻、蜂蜜芥末醬,question: 你們有哪些沙拉醬 ; answer: 凱薩、胡麻、蜂蜜芥末醬
你們只有兩款生啤嗎  ,是的 我們有提供海尼根以及艾德懷斯生啤酒,question: 你們只有兩款生啤嗎  ; answer: 是的 我們有提供海尼根以及艾德懷斯生啤酒
千層蛋糕有幾層？,30-40層,question: 千層蛋糕有幾層？; answer: 30-40層
你們招牌蛋糕是什麼 ,"原味香草千層還有鐵觀音千層都是蠻多客人喜歡的口味,若您喜歡巧克力的話,務必試試我們的榛果巧克力千層","question: 你們招牌蛋糕是什麼 ; answer: 原味香草千層還有鐵觀音千層都是蠻多客人喜歡的口味,若您喜歡巧克力的話,務必試試我們的榛果巧克力千層"
焦糖布雷上面黑黑的是什麼 ,"我們會撒糖在上面,並用火烤,糖經過高溫火烤之後會產生焦糖化的現象,就會看似黑黑的","question: 焦糖布雷上面黑黑的是什麼 ; answer: 我們會撒糖在上面,並用火烤,糖經過高溫火烤之後會產生焦糖化的現象,就會看似黑黑的"
你們有發票嗎 ,有的 請問有需要幫您打統編嗎,question: 你們有發票嗎 ; answer: 有的 請問有需要幫您打統編嗎
啤酒可以外帶嗎  ,可以的沒問提,question: 啤酒可以外帶嗎  ; answer: 可以的沒問提
可以請你們店長出來嗎 ,您好 請問有什麼地方可以給您協助的嗎,question: 可以請你們店長出來嗎 ; answer: 您好 請問有什麼地方可以給您協助的嗎
小狗叫什麼? ,enjoy,question: 小狗叫什麼? ; answer: enjoy
小狗幾歲? ,13歲,question: 小狗幾歲? ; answer: 13歲
店開幾年？,新店十幾年嚕 林口2016/9/15開六年多,question: 店開幾年？; answer: 新店十幾年嚕 林口2016/9/15開六年多
老闆是男生女生？,男生,question: 老闆是男生女生？; answer: 男生
老闆幾歲? ,快40了QQ,question: 老闆幾歲? ; answer: 快40了QQ
多久換一次菜單？,大概半年,question: 多久換一次菜單？; answer: 大概半年
你們廚房很大嗎？,新店鐵皮屋或叢林可以形容 林口中規中矩,question: 你們廚房很大嗎？; answer: 新店鐵皮屋或叢林可以形容 林口中規中矩
員工很多嗎？,大概十來個 要來上班嗎？,question: 員工很多嗎？; answer: 大概十來個 要來上班嗎？
你們牛肉用哪的？,美國喔,question: 你們牛肉用哪的？; answer: 美國喔
你們豬肉用哪的？,台灣豬,question: 你們豬肉用哪的？; answer: 台灣豬
你們龍蝦哪來的？,斯里蘭卡,question: 你們龍蝦哪來的？; answer: 斯里蘭卡
你們可以訂位嗎？,可以,question: 你們可以訂位嗎？; answer: 可以
你們有下午茶嗎？,有,question: 你們有下午茶嗎？; answer: 有
你們推薦什麼餐點？,我們的千層蛋糕是客人來必點,question: 你們推薦什麼餐點？; answer: 我們的千層蛋糕是客人來必點
你們什麼好吃？,都好吃誒看你想吃什麼,question: 你們什麼好吃？; answer: 都好吃誒看你想吃什麼
你們千層怎麼那麼貴？,一分錢一分貨,question: 你們千層怎麼那麼貴？; answer: 一分錢一分貨
你們千層自己做的嗎？,對 我們有自己的甜點部門專門在開發生產,question: 你們千層自己做的嗎？; answer: 對 我們有自己的甜點部門專門在開發生產
你們店生意好嗎？,好啊 看不出來嗎,question: 你們店生意好嗎？; answer: 好啊 看不出來嗎
你們用餐有限時嗎? ,90分鐘,question: 你們用餐有限時嗎? ; answer: 90分鐘
你們上班累嗎？,"有客人滿意的笑容,我們都不累當作在play","question: 你們上班累嗎？; answer: 有客人滿意的笑容,我們都不累當作在play"
店狗為什麼瞎掉？,白內障 老了,question: 店狗為什麼瞎掉？; answer: 白內障 老了
店狗是什麼狗？,法鬥,question: 店狗是什麼狗？; answer: 法鬥
千層內餡是用什麼？,卡士達,question: 千層內餡是用什麼？; answer: 卡士達
店內賣幾種酒? ,2種,question: 店內賣幾種酒? ; answer: 2種
目前有幾家分店? ,2家,question: 目前有幾家分店? ; answer: 2家
你們有會員嗎? ,有啊ocard,question: 你們有會員嗎? ; answer: 有啊ocard
你們老闆有幾個小孩? ,2個,question: 你們老闆有幾個小孩? ; answer: 2個
你們店長幾歲? ,27歲,question: 你們店長幾歲? ; answer: 27歲
你們店長是那個男生嗎？,沒戴眼鏡那個,question: 你們店長是那個男生嗎？; answer: 沒戴眼鏡那個
請寫出菜單上哪幾種餐點(飯/麵)內，不包含”蒜泥”? ,一.  橄欖油時蔬炒飯 二. 松露時蔬炒飯 三.  xo炒飯 四. 南瓜海鮮飯 五. 南瓜烤雞飯 六. 兒童餐,question: 請寫出菜單上哪幾種餐點(飯/麵)內，不包含”蒜泥”? ; answer: 一.  橄欖油時蔬炒飯 二. 松露時蔬炒飯 三.  xo炒飯 四. 南瓜海鮮飯 五. 南瓜烤雞飯 六. 兒童餐
XO醬肉醬燉飯內.蒜頭的部分是在燉飯內還是XO醬? ,XO醬,question: XO醬肉醬燉飯內.蒜頭的部分是在燉飯內還是XO醬? ; answer: XO醬
請問漢堡的生菜內，包含了什麼蔬菜，以及數量為多少? , 一. 酸黃瓜2片 二. 紫洋蔥些許 三. 茄片2片 四. 羅蔓or美生菜,question: 請問漢堡的生菜內，包含了什麼蔬菜，以及數量為多少? ; answer:  一. 酸黃瓜2片 二. 紫洋蔥些許 三. 茄片2片 四. 羅蔓or美生菜
請問店內素食餐點有哪些? , 一. 時蔬炒飯/麵 二. 瑪披 三. 松披 四. 炒野菇 五. 薯條 六. 時蔬沙拉,question: 請問店內素食餐點有哪些? ; answer:  一. 時蔬炒飯/麵 二. 瑪披 三. 松披 四. 炒野菇 五. 薯條 六. 時蔬沙拉
店內所有餐點都可以做不辣嗎? ,大部分都可以，不能的餐點為:  炙燒牛五花辣椒捲(開胃菜)，炙燒鮭魚生干貝佐南洋紅咖哩燉飯，舒肥雞(蒜辣),question: 店內所有餐點都可以做不辣嗎? ; answer: 大部分都可以，不能的餐點為:  炙燒牛五花辣椒捲(開胃菜)，炙燒鮭魚生干貝佐南洋紅咖哩燉飯，舒肥雞(蒜辣)
餐點擺盤上，綠色的葉子/像樹枝的東西/紅色的絲，分別是什麼,綠色的葉子:綠捲，像樹枝的東西:炸麵條，紅色的絲:辣椒絲,question: 餐點擺盤上，綠色的葉子/像樹枝的東西/紅色的絲，分別是什麼; answer: 綠色的葉子:綠捲，像樹枝的東西:炸麵條，紅色的絲:辣椒絲
凡是海鮮類的餐點，必定會加什麼東西去腥味?,白酒,question: 凡是海鮮類的餐點，必定會加什麼東西去腥味?; answer: 白酒
兒童餐內，是否有包含蒜泥成分?,否(只有洋泥),question: 兒童餐內，是否有包含蒜泥成分?; answer: 否(只有洋泥)
六種早午餐中，餐點必定包含哪四種配料?,一. 麵包 二. 沙拉 三. 薯塊 四. 蛋,question: 六種早午餐中，餐點必定包含哪四種配料?; answer: 一. 麵包 二. 沙拉 三. 薯塊 四. 蛋
早午餐中，哪兩種餐點只需要選飲料?,"明太子炙燒鮭魚可頌, 醬燒豬五花可頌","question: 早午餐中，哪兩種餐點只需要選飲料?; answer: 明太子炙燒鮭魚可頌, 醬燒豬五花可頌"
開胃菜中四種沙拉的醬分別為什麼?小點內時蔬沙拉醬汁又為何?,"凱薩烤雞:凱薩醬, 炙燒牛肉:胡麻醬 ,鮮蝦培根:胡麻醬 ,時蔬沙拉:蜂蜜芥末","question: 開胃菜中四種沙拉的醬分別為什麼?小點內時蔬沙拉醬汁又為何?; answer: 凱薩烤雞:凱薩醬, 炙燒牛肉:胡麻醬 ,鮮蝦培根:胡麻醬 ,時蔬沙拉:蜂蜜芥末"
請問蒜香炸雞，雞肉的部位為何?一份有多少呢?旁邊的醬又是什麼?,雞胸肉 250克 甜雞醬,question: 請問蒜香炸雞，雞肉的部位為何?一份有多少呢?旁邊的醬又是什麼?; answer: 雞胸肉 250克 甜雞醬
炙燒牛五花捲及BBQ燒烤雞翅一份各有幾隻?,"炙燒牛五花捲:6捲, BBQ燒烤雞翅:6隻","question: 炙燒牛五花捲及BBQ燒烤雞翅一份各有幾隻?; answer: 炙燒牛五花捲:6捲, BBQ燒烤雞翅:6隻"
"脆醬薯條份量為190克, 起司肉醬薯條及奶油松露薯條分量為幾克?","薯條一份為190克, 起司肉醬薯條及奶油松露薯條皆為1.5份 285克","question: 脆醬薯條份量為190克, 起司肉醬薯條及奶油松露薯條分量為幾克?; answer: 薯條一份為190克, 起司肉醬薯條及奶油松露薯條皆為1.5份 285克"
小點中，酥炸洋蔥圈份量為多少?,一份為8個,question: 小點中，酥炸洋蔥圈份量為多少?; answer: 一份為8個
店內牛肉產品中，肉品來源皆為?,美國,question: 店內牛肉產品中，肉品來源皆為?; answer: 美國
炭烤無骨牛小排/炭烤牛小排奶油松露燉飯/最強炭烤牛小排早午餐 肉的部分分別為幾盎司呢?一般建議為幾分熟?,"8盎司/4盎司/4盎司, 5分熟","question: 炭烤無骨牛小排/炭烤牛小排奶油松露燉飯/最強炭烤牛小排早午餐 肉的部分分別為幾盎司呢?一般建議為幾分熟?; answer: 8盎司/4盎司/4盎司, 5分熟"
請寫出下列主食一份的數量或內含物。 ,"牛肉漢堡排:一片(全牛), 骰子牛:90克, 松阪豬:5~6片, 牛五花:3~4片, 碳烤雞腿:一片, 蝦子(白蝦):5隻, 海鮮料:蝦3隻 魚肉 , 淡菜一個 蟹管 蛤蠣3 ,鮭魚:四片  干貝:一顆, 炸物拼盤:蒜香炸雞，洋蔥圈, 薯條，杏鮑菇","question: 請寫出下列主食一份的數量或內含物。 ; answer: 牛肉漢堡排:一片(全牛), 骰子牛:90克, 松阪豬:5~6片, 牛五花:3~4片, 碳烤雞腿:一片, 蝦子(白蝦):5隻, 海鮮料:蝦3隻 魚肉 , 淡菜一個 蟹管 蛤蠣3 ,鮭魚:四片  干貝:一顆, 炸物拼盤:蒜香炸雞，洋蔥圈, 薯條，杏鮑菇"
店內使用豬肉及龍蝦產地為何?,"豬肉:台灣, 龍蝦:澳洲","question: 店內使用豬肉及龍蝦產地為何?; answer: 豬肉:台灣, 龍蝦:澳洲"
菜單上什麼餐點需要等待時間較長?時間分別為多久?,"鱸魚麵:25~30分, 龍蝦麵: 25~30分, 舒肥雞麵/飯: 25~30分, 牛小排(排餐/飯/早午餐):20分, 豬腳: 30分, 辣味脆雞披撒: 25~30分","question: 菜單上什麼餐點需要等待時間較長?時間分別為多久?; answer: 鱸魚麵:25~30分, 龍蝦麵: 25~30分, 舒肥雞麵/飯: 25~30分, 牛小排(排餐/飯/早午餐):20分, 豬腳: 30分, 辣味脆雞披撒: 25~30分"
飲料中，哪幾種飲料含咖啡因,濃縮/美式/拿鐵/卡布/抹茶拿鐵/鐵觀音拿鐵/水果茶/鮮煮奶茶/貝里斯奶茶,question: 飲料中，哪幾種飲料含咖啡因; answer: 濃縮/美式/拿鐵/卡布/抹茶拿鐵/鐵觀音拿鐵/水果茶/鮮煮奶茶/貝里斯奶茶
奶昔是用什麼做的?,冰淇淋,question: 奶昔是用什麼做的?; answer: 冰淇淋
單點飲料中，哪幾種飲料可以製作無糖?,"濃縮/美式/拿鐵(原味)/卡布/葡萄柚汁/奇異果汁/奇異蘋果汁, 其餘飲料最低製作至半糖(冰沙奶昔類生啤類不可調整)","question: 單點飲料中，哪幾種飲料可以製作無糖?; answer: 濃縮/美式/拿鐵(原味)/卡布/葡萄柚汁/奇異果汁/奇異蘋果汁, 其餘飲料最低製作至半糖(冰沙奶昔類生啤類不可調整)"
水果茶/鮮煮奶茶/貝里斯奶茶/鮮榨果汁類中，加的糖為什麼糖?,鳳梨糖漿/黑糖/黑糖/蜂蜜,question: 水果茶/鮮煮奶茶/貝里斯奶茶/鮮榨果汁類中，加的糖為什麼糖?; answer: 鳳梨糖漿/黑糖/黑糖/蜂蜜
甜點菜單連結,https://drive.google.com/file/d/10ahQogwAwM_FWiy4DIeE7c3Enr9wDfZc/view?usp=sharing,question: 甜點菜單連結; answer: https://drive.google.com/file/d/10ahQogwAwM_FWiy4DIeE7c3Enr9wDfZc/view?usp=sharing
我該如何預留訂購甜點呢?,https://lin.ee/zoef18D,question: 我該如何預留訂購甜點呢?; answer: https://lin.ee/zoef18D
請問蛋糕有提供什麼尺寸?,6吋和9吋,question: 請問蛋糕有提供什麼尺寸?; answer: 6吋和9吋
有無開放甜點外帶的服務?,甜點提供單純「外帶」和「內用」的服務，務必提前一天詢問並預留，當日「一律不提供預留」，僅提供現場挑選購買的服務。,question: 有無開放甜點外帶的服務?; answer: 甜點提供單純「外帶」和「內用」的服務，務必提前一天詢問並預留，當日「一律不提供預留」，僅提供現場挑選購買的服務。
請問我可以購買切片蛋糕拼成一模嗎?,可以，一模蛋糕需挑選8~10切片即可拼成一個圓，需另外酌收$80包材費用，連結是https://drive.google.com/file/d/10ahQogwAwM_FWiy4DIeE7c3Enr9wDfZc/view,question: 請問我可以購買切片蛋糕拼成一模嗎?; answer: 可以，一模蛋糕需挑選8~10切片即可拼成一個圓，需另外酌收$80包材費用，連結是https://drive.google.com/file/d/10ahQogwAwM_FWiy4DIeE7c3Enr9wDfZc/view
切片蛋糕如何預訂?,如需切片小蛋糕需要依循我們當日有提供的口味來做挑選，因為每天提供的菜單口味不一樣。預留完成後務必先匯款訂單才會成立。,question: 切片蛋糕如何預訂?; answer: 如需切片小蛋糕需要依循我們當日有提供的口味來做挑選，因為每天提供的菜單口味不一樣。預留完成後務必先匯款訂單才會成立。
蛋糕需要多久前預訂?,需要3~7天前事先預訂,question: 蛋糕需要多久前預訂?; answer: 需要3~7天前事先預訂
現場是否有販售整模蛋糕,店內僅提供切片蛋糕販售，不會提供整模蛋糕的販售,question: 現場是否有販售整模蛋糕; answer: 店內僅提供切片蛋糕販售，不會提供整模蛋糕的販售
蛋糕的保存期限為幾天?,冷藏3天，包含取貨當天,question: 蛋糕的保存期限為幾天?; answer: 冷藏3天，包含取貨當天
蛋糕是否需要冷藏保存?,室溫保存僅30分鐘為限，務必放置冷藏保存,question: 蛋糕是否需要冷藏保存?; answer: 室溫保存僅30分鐘為限，務必放置冷藏保存
蛋糕是否可以冷凍保存?,不可以，冷凍會影響蛋糕口感,question: 蛋糕是否可以冷凍保存?; answer: 不可以，冷凍會影響蛋糕口感
蛋糕是否可以宅配寄送?,宅配部分可能會需要承擔些許風險，因為我們是和黑貓宅急便配合，他們僅提供配送服務，但不會承擔配送品質。不過包裝部分我們一定會盡可能去保護蛋糕，但收到的樣貌可能還是跟店內享用到的會有落差,question: 蛋糕是否可以宅配寄送?; answer: 宅配部分可能會需要承擔些許風險，因為我們是和黑貓宅急便配合，他們僅提供配送服務，但不會承擔配送品質。不過包裝部分我們一定會盡可能去保護蛋糕，但收到的樣貌可能還是跟店內享用到的會有落差
請問你們餐廳的位置在哪裡?,林口以及新店,question: 請問你們餐廳的位置在哪裡?; answer: 林口以及新店
請問你們林口店的在哪裡?,"林口店, 新北市林口區文化三路一段390-1（三井outlet旁邊，機場捷運A9站）. ","question: 請問你們林口店的在哪裡?; answer: 林口店, 新北市林口區文化三路一段390-1（三井outlet旁邊，機場捷運A9站）. "
請問你們新店店的在哪裡?,"新店店, 新北市新店區北新路一段88巷9號（新店區公所捷運站2號出口旁邊巷子）","question: 請問你們新店店的在哪裡?; answer: 新店店, 新北市新店區北新路一段88巷9號（新店區公所捷運站2號出口旁邊巷子）"
慶生時可以自己帶蛋糕來嗎？ ,可以，但是慶生結束後要把蛋糕帶走。,question: 慶生時可以自己帶蛋糕來嗎？ ; answer: 可以，但是慶生結束後要把蛋糕帶走。
龍蝦的推薦連結,https://eatenjoyforever.com/order-online/,question: 龍蝦的推薦連結; answer: https://eatenjoyforever.com/order-online/
奶昔的推薦連結,https://eatenjoyforever.com/news/,question: 奶昔的推薦連結; answer: https://eatenjoyforever.com/news/
千層的推薦連結,https://eatenjoyforever.com/luna-handmade-dessert/,question: 千層的推薦連結; answer: https://eatenjoyforever.com/luna-handmade-dessert/
龍蝦的圖片,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Monogrammist_JHV_Still_life_with_a_lobster.jpg/500px-Monogrammist_JHV_Still_life_with_a_lobster.jpg,question: 龍蝦的圖片; answer: https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Monogrammist_JHV_Still_life_with_a_lobster.jpg/500px-Monogrammist_JHV_Still_life_with_a_lobster.jpg
奶昔的圖片,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Milk-shake.jpg/900px-Milk-shake.jpg,question: 奶昔的圖片; answer: https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Milk-shake.jpg/900px-Milk-shake.jpg
蛋糕還剩下多少,蛋糕庫存表 https://eatenjoyforever.com/menu/,question: 蛋糕還剩下多少; answer: 蛋糕庫存表 https://eatenjoyforever.com/menu/
