question,answer
幾點營業&營業到幾點呢 ,平日11:00-21:30 假日 10:00-22:00
今天有蛋糕嗎? ,"有,口味依現場為主"
請問可以確認訂位嗎 ,可以
訂金匯款到哪裡呢 ,(013)015506153694
訂金可以給現金嗎 ,可以
有自備蛋糕請問可以借冰嗎 ,可以
請問可以在店內慶生嗎 ,可以，慶生結束後要把垃圾帶走
寵物可以落地嗎 ,可以，要繫牽繩
有用餐時間限制嗎 ,90分鐘
壽星活動 ,加入orcard 會員會贈送生日抵用金100 當天可做使用
有播放甚麼運動頻道 ,棒球or籃球(愛爾達1台)
有素食嗎 ,有的
店狗今天在嗎? ,店狗不在了
有收服務費嗎 ,有的 一成服務費
包場資訊 ,平日一樓23000 二樓20000 假日一樓 30000 二樓28000
小朋友要算低消嗎 ,超過120公分要
低消怎麼算 ,每位人頭100元 每位都要點一樣餐點
有水果蛋糕嗎 ,會依季節出限定水果甜點 時間不一定 依甜點師出的為主
紅茶奶茶是什麼茶包 ,紅茶是古早味紅茶茶包 奶茶是伯爵紅茶茶包
奶昔可以做去冰嗎 ,奶昔是用巧克力冰下去打的 無法去冰
海鮮料裡有什麼 ,淡菜、蛤蜊、蝦子、蟹管肉
炒時蔬有什麼 ,花椰菜、玉米筍、少許九層塔
海鮮料裡蟹管肉有多少  ,3顆
水果茶裡有什麼水果 ,奇異果、蘋果、鳳梨
水果茶可以無糖嗎 ,不建議無糖會比較澀，糖是自製鳳梨糖漿
食物裡有堅果嗎 ,青醬裡有堅果成分
鮮煮奶茶是奶精嗎 ,用鮮奶下去煮的
奶茶的奶是牛奶嗎 ,不是，是奶精粉
早午餐果汁是什麼果汁 ,一般柳橙汁
鮮奶是鮮奶還是沖泡奶 ,鮮奶
"麵上面那根是什麼, 能吃嗎 ",炸麵條，可食用
麵上面紅紅綠綠的是什麼 ,紅是辣椒絲 綠是綠捲
Ocard問卷、入會禮啥時能用 ,下次用餐可做使用
可以帶寵物嗎 ,可以
你們牛排有醬嗎 ,沒有，提供海鹽及胡椒
牛排是幾盎司?,8盎司
淡菜裡面有毛正常嗎 ,"正常, 是淡菜本身有的"
餐點可以客製化嗎 ,不能
龍蝦是什麼龍蝦 ,青殼龍蝦 澳洲
兒童果汁是什麼果汁 可以換牛奶嗎 ,一般柳橙汁，不能換牛奶
狗狗餐裡有什麼 ,有寵物餐包、飯、蔬食
披薩有多大 ,"10吋,跟菜單畫圓差不多大小"
評論送的披薩幾吋 ,一樣10吋
假日可以選擇座位嗎 ,不能，依現場狀況安排座位
廁所只有在一樓嗎 ,是
有尿布台嗎 ,沒有提供尿布台
有兒童遊戲區嗎 ,沒有
有空中花園嗎 ,沒有
請問你們是想林口嗎 ,意享美式廚房
可以電話訂餐嗎 ,不能，一律線上點餐
可以先預留蛋糕嗎等等過去拿 ,不能
我有訂位可以先幫我預留蛋糕嗎 ,不能
蛋糕可以放多久 ,室溫30分鐘 冷藏最多放3天 
骰子牛是什麼部位 ,牛肩肉
牛肉漢堡排是純牛肉嗎 ,有洋蔥 7分熟
有什麼支付方式 ,可刷卡or付現
附餐飲料可單點嗎 ,不能
早午餐餐後飲料升級後可續杯其他飲料嗎 ,不能
蟹肉醬可以加價購嗎 ,可加30元加購
巧克力奶昔可以無糖嗎 ,巧克力冰本身就有甜了
莓果冰沙裡有什麼 ,桑椹果粒、蔓越莓果漿
附餐飲料可以續杯嗎 ,不可
有哪些外送平台 ,Oddle、Uber、foodpanda、inline
Oddle只能線上刷卡嗎 ,是的
你們一二樓能容納多少人 ,一樓容納50人 二樓40人
為什麼你們叫意享 ,取eatenjoy為諧音 eat=意 enjoy=享受
餐點可以不要加洋蔥嗎？ ,漢堡可不加紫洋蔥 醬汁裡也有洋蔥的成分 可以接受嗎？
現場可以買到整模蛋糕嗎 ,請幫我的Fb粉絲專頁密小編 甜點師在上面可直接與他討論 蛋糕最晚3天內要訂
一次限購幾個蛋糕 ,8個
蛋糕是外包嗎 ,不是，有自己的甜點師
菜單上的蛋糕都有嗎 ,蛋糕都是依現場口味為主，菜單上僅供參考
你們如果有特殊球賽會(世足or有台灣參賽的) 加長營業時間嗎 ,世足會開放冠軍賽的訂位決定是否加長營業時間，官網上都會持續更新訊息
可以現場候位嗎 ,依訂位為主，現場不後位 可先訂位若有空桌會提早通知
毛小孩如果在店內上廁所怎麼辦 ,會酌收清潔費500元
你們提供寵物尿布墊嗎 ,不會
你們還會再養店狗嗎 ,目前沒有計畫
可帶外食嗎 ,禁帶外食屢勸不聽者將酌收清潔費500元
有提供打包嗎 ,有的
評論薯條之前評過的話還可以再評一次嗎 ,可再修改評論
炒蛋可不調味嗎 ,可以不給起司 調味固定
早午餐的時蔬有什麼 ,糯米椒、甜椒、玉米筍、節瓜
薯塊可以換薯條嗎? ,不可以
餐點可以加辣嗎 ,可以
你們店狗是法鬥嗎 ,新店店是，這裡店狗走了
你們店長換了喔？ ,是的
會員可以幹嘛 ,可報電話集點換餐點優惠卷，不定時發送會員好禮
賴之前的會員還可以用嗎 ,若有剩的優惠卷可使用
外國客人是否有英文菜單 ,有的
炸雞有骨頭嗎 ,沒有
你們有哪些沙拉醬 ,凱薩、胡麻、蜂蜜芥末醬
你們只有兩款生啤嗎  ,是的 我們有提供海尼根以及艾德懷斯生啤酒
千層蛋糕有幾層？,30-40層
你們招牌蛋糕是什麼 ,"原味香草千層還有鐵觀音千層都是蠻多客人喜歡的口味,若您喜歡巧克力的話,務必試試我們的榛果巧克力千層"
焦糖布雷上面黑黑的是什麼 ,"我們會撒糖在上面,並用火烤,糖經過高溫火烤之後會產生焦糖化的現象,就會看似黑黑的"
你們有發票嗎 ,有的 請問有需要幫您打統編嗎
啤酒可以外帶嗎  ,可以的沒問提
可以請你們店長出來嗎 ,您好 請問有什麼地方可以給您協助的嗎
小狗叫什麼? ,enjoy
小狗幾歲? ,13歲
店開幾年？,新店十幾年嚕 林口2016/9/15開六年多
老闆是男生女生？,男生
老闆幾歲? ,快40了QQ
多久換一次菜單？,大概半年
你們廚房很大嗎？,新店鐵皮屋或叢林可以形容 林口中規中矩
員工很多嗎？,大概十來個 要來上班嗎？
你們牛肉用哪的？,美國喔
你們豬肉用哪的？,台灣豬
你們龍蝦哪來的？,斯里蘭卡
你們可以訂位嗎？,可以
你們有下午茶嗎？,有
你們推薦什麼餐點？,我們的千層蛋糕是客人來必點
你們什麼好吃？,都好吃誒看你想吃什麼
你們千層怎麼那麼貴？,一分錢一分貨
你們千層自己做的嗎？,對 我們有自己的甜點部門專門在開發生產
你們店生意好嗎？,好啊 看不出來嗎
你們用餐有限時嗎? ,90分鐘
你們上班累嗎？,"有客人滿意的笑容,我們都不累當作在play"
店狗為什麼瞎掉？,白內障 老了
店狗是什麼狗？,法鬥
千層內餡是用什麼？,卡士達
店內賣幾種酒? ,2種
目前有幾家分店? ,2家
你們有會員嗎? ,有啊ocard
你們老闆有幾個小孩? ,2個
你們店長幾歲? ,27歲
你們店長是那個男生嗎？,沒戴眼鏡那個
請寫出菜單上哪幾種餐點(飯/麵)內，不包含”蒜泥”? ,一.  橄欖油時蔬炒飯 二. 松露時蔬炒飯 三.  xo炒飯 四. 南瓜海鮮飯 五. 南瓜烤雞飯 六. 兒童餐
XO醬肉醬燉飯內.蒜頭的部分是在燉飯內還是XO醬? ,XO醬
請問漢堡的生菜內，包含了什麼蔬菜，以及數量為多少? , 一. 酸黃瓜2片 二. 紫洋蔥些許 三. 茄片2片 四. 羅蔓or美生菜
請問店內素食餐點有哪些? , 一. 時蔬炒飯/麵 二. 瑪披 三. 松披 四. 炒野菇 五. 薯條 六. 時蔬沙拉
店內所有餐點都可以做不辣嗎? ,大部分都可以，不能的餐點為:  炙燒牛五花辣椒捲(開胃菜)，炙燒鮭魚生干貝佐南洋紅咖哩燉飯，舒肥雞(蒜辣)
餐點擺盤上，綠色的葉子/像樹枝的東西/紅色的絲，分別是什麼,綠色的葉子:綠捲，像樹枝的東西:炸麵條，紅色的絲:辣椒絲
凡是海鮮類的餐點，必定會加什麼東西去腥味?,白酒
兒童餐內，是否有包含蒜泥成分?,否(只有洋泥)
六種早午餐中，餐點必定包含哪四種配料?,一. 麵包 二. 沙拉 三. 薯塊 四. 蛋
早午餐中，哪兩種餐點只需要選飲料?,"明太子炙燒鮭魚可頌, 醬燒豬五花可頌"
開胃菜中四種沙拉的醬分別為什麼?小點內時蔬沙拉醬汁又為何?,"凱薩烤雞:凱薩醬, 炙燒牛肉:胡麻醬 ,鮮蝦培根:胡麻醬 ,時蔬沙拉:蜂蜜芥末"
請問蒜香炸雞，雞肉的部位為何?一份有多少呢?旁邊的醬又是什麼?,雞胸肉 250克 甜雞醬
炙燒牛五花捲及BBQ燒烤雞翅一份各有幾隻?,"炙燒牛五花捲:6捲, BBQ燒烤雞翅:6隻"
"脆醬薯條份量為190克, 起司肉醬薯條及奶油松露薯條分量為幾克?","薯條一份為190克, 起司肉醬薯條及奶油松露薯條皆為1.5份 285克"
小點中，酥炸洋蔥圈份量為多少?,一份為8個
店內牛肉產品中，肉品來源皆為?,美國
炭烤無骨牛小排/炭烤牛小排奶油松露燉飯/最強炭烤牛小排早午餐 肉的部分分別為幾盎司呢?一般建議為幾分熟?,"8盎司/4盎司/4盎司, 5分熟"
請寫出下列主食一份的數量或內含物。 ,"牛肉漢堡排:一片(全牛), 骰子牛:90克, 松阪豬:5~6片, 牛五花:3~4片, 碳烤雞腿:一片, 蝦子(白蝦):5隻, 海鮮料:蝦3隻 魚肉 , 淡菜一個 蟹管 蛤蠣3 ,鮭魚:四片  干貝:一顆, 炸物拼盤:蒜香炸雞，洋蔥圈, 薯條，杏鮑菇"
店內使用豬肉及龍蝦產地為何?,"豬肉:台灣, 龍蝦:澳洲"
菜單上什麼餐點需要等待時間較長?時間分別為多久?,"鱸魚麵:25~30分, 龍蝦麵: 25~30分, 舒肥雞麵/飯: 25~30分, 牛小排(排餐/飯/早午餐):20分, 豬腳: 30分, 辣味脆雞披撒: 25~30分"
飲料中，哪幾種飲料含咖啡因,濃縮/美式/拿鐵/卡布/抹茶拿鐵/鐵觀音拿鐵/水果茶/鮮煮奶茶/貝里斯奶茶
奶昔是用什麼做的?,冰淇淋
單點飲料中，哪幾種飲料可以製作無糖?,"濃縮/美式/拿鐵(原味)/卡布/葡萄柚汁/奇異果汁/奇異蘋果汁, 其餘飲料最低製作至半糖(冰沙奶昔類生啤類不可調整)"
水果茶/鮮煮奶茶/貝里斯奶茶/鮮榨果汁類中，加的糖為什麼糖?,鳳梨糖漿/黑糖/黑糖/蜂蜜
甜點菜單連結,https://drive.google.com/file/d/10ahQogwAwM_FWiy4DIeE7c3Enr9wDfZc/view?usp=sharing
我該如何預留訂購甜點呢?,https://lin.ee/zoef18D
請問蛋糕有提供什麼尺寸?,6吋和9吋
有無開放甜點外帶的服務?,甜點提供單純「外帶」和「內用」的服務，務必提前一天詢問並預留，當日「一律不提供預留」，僅提供現場挑選購買的服務。
請問我可以購買切片蛋糕拼成一模嗎?,可以，一模蛋糕需挑選8~10切片即可拼成一個圓，需另外酌收$80包材費用，連結是https://drive.google.com/file/d/10ahQogwAwM_FWiy4DIeE7c3Enr9wDfZc/view
切片蛋糕如何預訂?,如需切片小蛋糕需要依循我們當日有提供的口味來做挑選，因為每天提供的菜單口味不一樣。預留完成後務必先匯款訂單才會成立。
蛋糕需要多久前預訂?,需要3~7天前事先預訂
現場是否有販售整模蛋糕,店內僅提供切片蛋糕販售，不會提供整模蛋糕的販售
蛋糕的保存期限為幾天?,冷藏3天，包含取貨當天
蛋糕是否需要冷藏保存?,室溫保存僅30分鐘為限，務必放置冷藏保存
蛋糕是否可以冷凍保存?,不可以，冷凍會影響蛋糕口感
蛋糕是否可以宅配寄送?,宅配部分可能會需要承擔些許風險，因為我們是和黑貓宅急便配合，他們僅提供配送服務，但不會承擔配送品質。不過包裝部分我們一定會盡可能去保護蛋糕，但收到的樣貌可能還是跟店內享用到的會有落差
請問你們餐廳的位置在哪裡?,林口以及新店
請問你們林口店的在哪裡?,"林口店, 新北市林口區文化三路一段390-1（三井outlet旁邊，機場捷運A9站）. "
請問你們新店店的在哪裡?,"新店店, 新北市新店區北新路一段88巷9號（新店區公所捷運站2號出口旁邊巷子）"
慶生時可以自己帶蛋糕來嗎？ ,可以，但是慶生結束後要把蛋糕帶走。
龍蝦的推薦連結,https://eatenjoyforever.com/order-online/
奶昔的推薦連結,https://eatenjoyforever.com/news/
千層的推薦連結,https://eatenjoyforever.com/luna-handmade-dessert/
龍蝦的圖片,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Monogrammist_JHV_Still_life_with_a_lobster.jpg/500px-Monogrammist_JHV_Still_life_with_a_lobster.jpg
奶昔的圖片,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Milk-shake.jpg/900px-Milk-shake.jpg
蛋糕還剩下多少,蛋糕庫存表 https://eatenjoyforever.com/menu/
